Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Google West Memphis,arkansas,35.1148503,-90.2129455,50.0,1.22,https://www.google.com/about/datacenters/locations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/west-memphis/google-west-memphis/,Hyperscale,P2,False,394200.0,1,
Amazon AWS SFO - 2305 Mission A,california,37.38990437937666,-121.9661507147906,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/santa-clara/amazon-aws-sfo-2305-mission-a/,Hyperscale,P2,False,394200.0,1,
Amazon AWS SFO - 2305 Mission B,california,37.38986602005222,-121.9678887861565,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/santa-clara/amazon-aws-sfo-2305-mission-b/,Hyperscale,P2,False,394200.0,1,
Amazon AWS SFO - 8050 Camino Arroyo,california,37.0159536,-121.5582849,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/amazon-aws-sfo-arroyo/,Hyperscale,P2,False,394200.0,1,
Amazon AWS SFO - 960 Central,california,37.372741,-121.953591,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/santa-clara/amazon-aws-sfo-960-central/,Hyperscale,P2,False,394200.0,1,
Amazon AWS SFO - Mission College Campus,california,37.38990864152262,-121.966772987255,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/santa-clara/aws-sfo-mission-college-campus/,Hyperscale,P2,False,394200.0,1,
Apple Newark Data Center,california,37.5099076,-122.001852,50.0,1.22,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/fremont/apple-newark-data-center/,Hyperscale,P2,False,394200.0,1,
IBM SJC01,california,37.3782765,-121.9581228,50.0,1.22,https://www.ibm.com/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/santa-clara/softlayer-sjc011/,Hyperscale,P3,False,394200.0,1,
Microsoft Orchard Pkwy Campus,california,37.37854152342197,-121.9325888737743,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/microsoft-sjc04-campus/,Hyperscale,P2,False,394200.0,1,
Microsoft SJC04,california,37.378309,-121.933703,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/microsoft-sjc04/,Hyperscale,P2,False,394200.0,1,
Microsoft SJC06,california,37.37775,-121.932767,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/microsoft-sjc06/,Hyperscale,P2,False,394200.0,1,
Rowan Matterhorn,california,37.79625437573112,-121.5547446388748,50.0,1.22,https://www.quinbrook.com/quinbrook-project/meriwether/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/stockton/rowan-matterhorn/,Hyperscale,P3,False,394200.0,1,
T5 Data Centers - T5@Colorado Springs,colorado,38.78613812959097,-104.7885933532184,50.0,1.22,https://t5datacenters.com/locations/colorado-springs-site-1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/colorado-springs/t5-data-centers-t5colorado-springs/,Hyperscale,P3,False,394200.0,1,
