Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
SDC Columbia - Building C,washington,47.40759190622035,-120.1915913591392,20.0,1.14,https://sabeydatacenters.com/locations/east-wenatchee-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/wenatchee/sdc-columbia-building-c/,AI Specialized,P3,False,157680.0,1,
SDC Columbia - Building D,washington,47.41004695227301,-120.1919116932251,20.0,1.14,https://sabeydatacenters.com/locations/east-wenatchee-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/wenatchee/sdc-columbia-building-d/,AI Specialized,P3,False,157680.0,1,
SDC Quincy - Building A,washington,47.24622953692534,-119.8132689929737,20.0,1.14,https://sabeydatacenters.com/locations/quincy-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/quincy/sdc-quincy-building-a/,AI Specialized,P3,False,157680.0,1,
SDC Quincy - Building B,washington,47.24764850187839,-119.8131938911208,20.0,1.14,https://sabeydatacenters.com/locations/quincy-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/quincy/sdc-quincy-building-b/,AI Specialized,P3,False,157680.0,1,
SDC Quincy - Building C,washington,47.24619061719264,-119.8157366246109,20.0,1.14,https://sabeydatacenters.com/locations/quincy-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/quincy/sdc-quincy-building-c/,AI Specialized,P3,False,157680.0,1,
SDC Quincy - Building D,washington,47.24430296518699,-119.8147924878232,20.0,1.14,https://sabeydatacenters.com/locations/quincy-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/quincy/sdc-quincy-building-d/,AI Specialized,P3,False,157680.0,1,
SDC Quincy - Building E,washington,47.24481378691405,-119.8178534897305,20.0,1.14,https://sabeydatacenters.com/locations/quincy-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/quincy/sdc-quincy-building-e/,AI Specialized,P3,False,157680.0,1,
SDC Seattle - Building A,washington,47.4948707681969,-122.2881984688999,20.0,1.14,https://sabeydatacenters.com/locations/seattle-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sdc-seattle-building-a/,AI Specialized,P3,False,157680.0,1,
SDC Seattle - Building B,washington,47.49504311765745,-122.2905768926494,20.0,1.14,https://sabeydatacenters.com/locations/seattle-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sdc-seattle-building-b/,AI Specialized,P3,False,157680.0,1,
SDC Seattle - Building C,washington,47.49354273430495,-122.290106063134,20.0,1.14,https://sabeydatacenters.com/locations/seattle-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sdc-seattle-building-c/,AI Specialized,P3,False,157680.0,1,
SDC Seattle - Building D,washington,47.49342912883517,-122.2888366822993,20.0,1.14,https://sabeydatacenters.com/locations/seattle-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sdc-seattle-building-d/,AI Specialized,P3,False,157680.0,1,
SDC Seattle - Building E,washington,47.49189827858618,-122.2896949891843,20.0,1.14,https://sabeydatacenters.com/locations/seattle-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sdc-seattle-building-e/,AI Specialized,P3,False,157680.0,1,
Project Jade - Building 1,wyoming,41.03304,-104.798259,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-1/,AI Specialized,P3,False,157680.0,1,
Project Jade - Building 2,wyoming,41.03304,-104.794142,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-2/,AI Specialized,P3,False,157680.0,1,
Project Jade - Building 3,wyoming,41.038519,-104.794142,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-3/,AI Specialized,P3,False,157680.0,1,
Project Jade - Building 4,wyoming,41.038519,-104.798256,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-4/,AI Specialized,P3,False,157680.0,1,
Project Jade - Building 5,wyoming,41.033476,-104.805737,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-5/,AI Specialized,P3,False,157680.0,1,
