res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
,,,,,,02122,58502478.163313,2030472.3660153067,199618.76284512316,6928.2600399202,58502478.163313,199618.76284512316,2030472.3660153067,6928.2600399202
,,,,,,02130,13377235.67169178,1928798.549526583,45645.02767927774,6581.334540378733,13377235.67169178,45645.02767927774,1928798.549526583,6581.334540378733
,,,,,,02150,1787797.6680639624,108370.71196220467,6100.219510703105,369.776257856141,1787797.6680639624,6100.219510703105,108370.71196220467,369.776257856141
,,,,,,02164,6777638.986874685,102759.8133818028,23126.26664795256,350.63107515221134,6777638.986874685,23126.26664795256,102759.8133818028,350.63107515221134
,,,,,,02170,116642482.06560087,3904811.0970438365,398000.7120402835,13323.76994628935,116642482.06560087,398000.7120402835,3904811.0970438365,13323.76994628935
,,,,,,02180,29899496.093598016,146098.98658004307,102021.32639980172,498.5104882672013,29899496.093598016,102021.32639980172,146098.98658004307,498.5104882672013
,,,,,,02185,6881146.688272366,258021.3654783258,23479.44962321505,880.4055380459456,6881146.688272366,23479.44962321505,258021.3654783258,880.4055380459456
,,,,,,02188,39726828.46496822,470955.7677136481,135553.5799321136,1606.9679551579827,39726828.46496822,135553.5799321136,470955.7677136481,1606.9679551579827
,,,,,,02220,11329324.80705139,498015.1823257569,38657.26500578195,1699.2985202513728,11329324.80705139,38657.26500578195,498015.1823257569,1699.2985202513728
,,,,,,02240,3715225.1552716456,5107.028252018354,12676.875791758903,17.42590559389841,3715225.1552716456,12676.875791758903,5107.028252018354,17.42590559389841
,,,,,,02261,1436722.6326445276,85728.91853353921,4902.301637196963,292.51924354286757,1436722.6326445276,4902.301637196963,85728.91853353921,292.51924354286757
,,,,,,02270,14623326.165111948,656859.3602321934,49896.86538767741,2241.297411141397,14623326.165111948,49896.86538767741,656859.3602321934,2241.297411141397
,,,,,,02290,15825270.799176913,122355.1334631872,53998.07115524511,417.4930898053465,15825270.799176913,53998.07115524511,122355.1334631872,417.4930898053465
198305512.36703637,30805989.53597938,175100237.19338495,113258265.26168911,676646.5675790842,105114.41074727575,04001,44194753.23354058,11502482.614285937,150798.7736877996,39248.10403247485,242500265.60057694,827445.3412668838,42308472.15026531,144362.51477975058
276839490.10913026,174474479.92484742,243248282.8701046,552482908.127767,944615.6514599479,595331.7008797288,04003,36164756.39154918,62304528.28941291,123399.28420337339,212591.89776649393,313004246.50067943,1068014.9356633213,236779008.21426034,807923.5986462227
732205225.2932855,39646314.07701341,627177303.534709,160104915.2535716,2498388.2018426815,135278.8534073687,04005,76963162.36249346,76062382.81957978,262609.23874988314,259535.65103876658,809168387.6557789,2760997.4405925646,115708696.89659318,394814.50444613525
259240375.8996944,60581687.67444174,231714255.00295153,212171926.47614324,884564.9747031351,206713.32094484498,04007,23155557.412772413,17694372.62602268,79010.04998153208,60375.712000902284,282395933.3124668,963575.0246846671,78276060.30046442,267089.03294574725
37727299.6639648,54875665.82208664,32819457.191485334,168290194.14922357,128730.90373000018,187243.56412950635,04009,6007663.979180813,18080098.07781228,20499.00258524998,61691.86201542255,43734963.64314561,149229.90631525015,72955763.89989892,248935.42614492888
16593943.216541806,18855418.2869647,14214318.545514831,49086127.1971039,56620.89059477739,64337.364664520304,04011,3718253.4227453656,3886224.606418813,12687.208670393216,13260.3502009951,20312196.639287174,69308.09926517062,22741642.893383514,77597.71486551542
14473468.835344503,161236310.53491765,16640708.611047199,400251608.41279125,49385.53089877006,550161.187101235,04012,664932.8401415561,9257748.259504205,2268.8452710262895,31588.751661681195,15138401.675486058,51654.37616979635,170494058.79442185,581749.9387629161
1495439188.569193,15062007982.94315,1607839894.024067,40012022087.73882,5102650.863762863,51393710.0429356,04013,690351352.5766234,5287267250.463399,2355576.8448835053,18040906.65053068,2185790541.1458163,7458227.708646368,20349275233.406548,69434616.69346628
432326634.1419449,403311573.3400749,422380558.3029991,1208680171.7850056,1475159.8660743642,1376156.3584797499,04015,68531779.1524879,128637212.4511476,233840.1619809284,438928.43536748365,500858413.29443276,1709000.0280552923,531948785.7912225,1815084.7938472335
246824154.6644199,118461228.77363376,214975974.1888187,417477892.1655567,842199.064744963,404206.53407012427,04017,91194817.32083929,47913117.98306072,311169.6663627632,163486.36222095677,338018971.9852592,1153368.7311077262,166374346.7566945,567692.8962910811
1144564898.7244964,2715708684.320734,1082761718.0285497,7455858057.717496,3905417.9626636,9266383.661535518,04019,176341294.46873713,1002614696.4310794,601701.5371911456,3421063.715509736,1320906193.1932335,4507119.499854746,3718323380.7518134,12687447.377045253
111685460.87695266,1626937339.6493928,122661458.1366565,4377039641.146277,381086.651847607,5551341.227985959,04021,19222642.684006214,245887077.8517567,65590.38645309034,839001.6255952488,130908103.56095888,446677.03830069734,1872824417.5011497,6390342.853581208
55521274.41321618,56952924.59194102,50530053.87956677,176490871.7125625,189446.4723188603,194331.4660229948,04023,2711689.112774969,13038948.184914155,9252.668312642209,44490.74273756935,58232963.52599115,198699.1406315025,69991872.77685517,238822.20876056416
883530897.5500832,260562177.52938995,781256088.5641097,876894446.0653853,3014732.883828336,889075.1495594877,04025,86106605.21811286,70057113.21825674,293807.96414214204,239044.818410769,969637502.768196,3308540.847970478,330619290.7476467,1128119.9679702567
51325244.34044402,693209558.0806452,60745189.40741109,1828663884.815424,175129.02187429133,2365329.4479284086,04027,12866338.273437917,140821231.6359566,43901.773209005,480502.03895677614,64191582.61388194,219030.79508329634,834030789.7166018,2845831.4868851854
88457318.14571519,43054315.63753083,81567026.58428265,116559824.76769792,301828.93045235693,146907.43866807575,05001,26297964.74622973,25559520.733579013,89732.3900251298,87212.71419491577,114755282.89194492,391561.3204774867,68613836.37110984,234120.15286299147
74105903.25373657,45661586.56029207,62749145.05478436,135178659.00290152,252859.8649400112,155803.81728900812,05003,940753.0618054623,2893431.189045159,3209.9830338150136,9872.798084250928,75046656.31554203,256069.8479738262,48555017.74933723,165676.61537325903
237930183.15758085,76554433.08852717,231768540.62866825,229734284.37713677,811851.5710196742,261214.59642755328,05005,28008119.4016722,21538313.12036759,95567.68055146058,73491.7828071573,265938302.55925304,907419.2515711348,98092746.20889476,334706.3792347106
1241819893.4926624,369986305.2591097,1124494307.2699046,1045553995.3542894,4237265.81502184,1262445.811599429,05007,254342337.94409618,190914037.79899025,867852.1736772442,651425.8067635222,1496162231.4367585,5105117.988699084,560900343.0581,1913871.6183629513
159621934.2491189,60550606.49584043,176633291.6482664,162687136.997632,544652.7059726571,206607.26754992997,05009,31733833.83420872,81352456.95525014,108280.3472467246,277586.13518020115,191355768.08332762,652933.0532193817,141903063.45109057,484193.4027301311
44848934.37457922,37567139.34409456,52531951.64047495,99024219.39075042,153030.9326347455,128184.4139758375,05011,4130316.1457953784,4869119.253038002,14093.225194346534,16614.126306299593,48979250.520374596,167124.157829092,42436258.59713256,144798.5402821371
42147071.64570942,22528461.404733043,36752645.919068836,56162134.326476164,143811.79333933422,76870.30935446861,05013,197537.79037003554,418832.012732635,674.0269911087938,1429.1143015895586,42344609.43607945,144485.820330443,22947293.41746568,78299.42365605818
