Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
TECfusions New Kensington,pennsylvania,40.54475736471054,-79.64300366232152,200.0,1.22,https://tecfusions.com/?clarksville&utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/tecfusions-new-kensington/,Hyperscale,P1,False,5,1576800.0
aspStation Data Center,pennsylvania,40.4652826,-79.946724,15.0,1.68,https://www.aspstation.net/services.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/aspstation/,Midsize/Colo,P3,False,1,118260.0
Cogent Data Center - Pittsburgh,pennsylvania,40.4595629,-79.96937659999999,15.0,1.68,https://www.cogentco.com/en/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/cogent-data-center-pittsburgh/,Midsize/Colo,P3,False,1,118260.0
iM Critical Pittsburgh,pennsylvania,40.43405629999999,-79.8728691,10.0,1.2,https://imcritical.com/locations/pittsburgh/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/im-critical-pittsburgh/,Midsize/Colo,P1,False,5,78840.0
Consolidated Pittsburgh,pennsylvania,40.5186006,-80.01519189999999,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/pennsylvania?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/consolidated-pittsburgh/,Small,P4,False,1,7884.0
Pittsburgh Tech Center,pennsylvania,40.4389026,-80.0005467,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/pittsburgh-tech-center/,Small,P4,False,1,7884.0
Consolidated Tarentum,pennsylvania,40.6015299,-79.81950479999999,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/pennsylvania?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/consolidated-tarentum/,Small,P4,False,1,7884.0
Bitfarms Scrubgrass,pennsylvania,41.268925,-79.8113259,85.0,1.22,https://bitfarms.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/bitfarms-scrubgrass/,Hyperscale,P1,False,5,670140.0
Nova Place,pennsylvania,40.45067168251518,-80.00565483174317,1.0,1.91,https://novaplace.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/nova-place/,Small,P4,False,1,7884.0
Sierra Data Center,pennsylvania,40.4389111,-80.0005541,15.0,1.68,https://www.sierradatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/sierra-data-center/,Midsize/Colo,P3,False,1,118260.0
201 Pendale Road,pennsylvania,40.84822645655902,-80.34659941235346,50.0,1.22,https://www.providentdatacenters.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/201-pendale-road/,Hyperscale,P3,False,1,394200.0
Citynet Pittsburgh,pennsylvania,40.4506834,-80.0056791,15.0,1.68,https://www.citynet.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/citynet-pittsburgh/,Midsize/Colo,P3,False,1,118260.0
The Homer City Energy Campus,pennsylvania,40.51373735901925,-79.19593245632844,15.0,1.68,https://www.homercityredevelopment.com/project-overview?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/the-homer-city-energy-campus/,Midsize/Colo,P3,False,1,118260.0
151 Porter St,pennsylvania,40.53948750953155,-79.79030595209623,1.0,1.91,https://charah.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/151-porter-st/,Small,P4,False,1,7884.0
TECfusions Keystone Connect,pennsylvania,40.54621337910504,-79.64519513164295,12.0,1.68,https://tecfusions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/tecfusions-keystone-connect/,Midsize/Colo,P1,False,5,94608.0
Bitfarms Sharon,pennsylvania,41.23298037280916,-80.49363317268894,110.0,1.22,https://bitfarms.com/our-portfolio/data-centers/north-america/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/bitfarms-sharon/,Hyperscale,P1,False,5,867240.0
