Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
DataBank BOS1 - Downtown Boston,massachusetts,42.35517,-71.06046,0.5,1.91,https://www.databank.com/data-centers/boston/1-summer-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/databank-bos1/,Small,P1,False,5,3942.0
EdgeConneX Boston - EDCBOS01,massachusetts,42.528273,-71.249413,1.5,1.91,https://www.edgeconnex.com/locations/americas/boston-ma/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/edgeconnex-edcbos01/,Small,P1,False,5,11826.0
Equinix BO2,massachusetts,42.55075,-71.21532,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/equinix-bo2/,Midsize/Colo,P2,False,1,118260.0
Equinix BO1,massachusetts,42.3549386,-71.0630431,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/switchdata-boston/,Midsize/Colo,P2,False,1,118260.0
Massachusetts Green HPC Center,massachusetts,42.202523,-72.60784749999999,30.0,1.22,https://www.mghpcc.org/services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/holyoke/massachusetts-green-hpc-center/,Hyperscale,P1,False,5,236520.0
Iron Mountain Data Centers BOS-1,massachusetts,42.3376904,-71.6394718,3.6,1.2,https://www.ironmountain.com/data-centers/locations/boston-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/iron-mountain-bos-1/,Small,P1,False,5,28382.4
Lumen Springfield 1,massachusetts,42.1100177,-72.5764883,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/springfield-ma/lumen-springfield-1/,Midsize/Colo,P2,False,1,118260.0
Lumen Cambridge 1,massachusetts,42.3676978,-71.0868327,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/level3-boston/,Midsize/Colo,P2,False,1,118260.0
Lumen Cambridge 2,massachusetts,42.3621656,-71.0799907,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/level3-cambridge2/,Midsize/Colo,P2,False,1,118260.0
Lumen Worcester 1,massachusetts,42.2624592,-71.8027476,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/worcester/lumen-worcester-1/,Midsize/Colo,P2,False,1,118260.0
TierPoint Boston-Andover,massachusetts,42.685693,-71.208694,15.0,1.68,http://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/tierpoint-boston-andover/,Midsize/Colo,P2,False,1,118260.0
TierPoint Boston-Charlestown,massachusetts,42.3809868,-71.0727119,15.0,1.68,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/hosted-solutions-boston/,Midsize/Colo,P2,False,1,118260.0
TierPoint Boston-Marlborough,massachusetts,42.7167588,-70.9731097,15.0,1.68,https://www.tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/access-northeast/,Midsize/Colo,P2,False,1,118260.0
