fips,dc_count,total_it_load_mw,total_recoverable_kwh,total_heat_delivered_kwh,total_cooling_delivered_kwh,dc_count_hyperscale,it_load_mw_hyperscale,dc_count_ai_specialized,it_load_mw_ai_specialized,dc_count_midsize_colo,it_load_mw_midsize_colo,dc_count_small,it_load_mw_small,aggregated_count,original_it_load_mw,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu,heating_coverage_ratio,cooling_coverage_ratio,heating_coverage_pct,cooling_coverage_pct,heating_demand_mw,cooling_demand_mw,heat_delivered_mw,cooling_delivered_mw,county_name,state_abbr,county_label
08013,3,31.0,168008040.0,504024120.0,117605628.0,0,0.0,0,0.0,2,30.0,1,1.0,0,0.0,2437839877.0245266,8318255.833670222,250331924.715302,854168.07426192,0.20675029756883787,0.4697987607203946,20.675029756883788,46.97987607203946,278.2922234046263,28.576703734623514,57.537,13.4253,Boulder County,CO,"Boulder County, CO"
08014,2,0.6,4304664.0,12913991.999999998,3013264.7999999993,0,0.0,0,0.0,0,0.0,2,0.6,0,0.6,422411504.7910696,1441328.03678081,48421219.717180386,165220.0774882193,0.030572065044458085,0.06223025395890347,3.0572065044458085,6.223025395890347,48.220491414505666,5.527536497395021,1.4741999999999997,0.3439799999999999,Broomfield County,CO,"Broomfield County, CO"
08031,11,109.3,552116520.0,1656349560.0,386481564.0,0,0.0,0,0.0,7,102.3,4,7.0,0,17.3,5381415684.755553,18362154.47741318,690126523.3136128,2354809.6955123576,0.3077906738726946,0.5600155202618867,30.77906738726946,56.00155202618867,614.31685899036,78.78156658831196,189.081,44.118900000000004,Denver County,CO,"Denver County, CO"
08035,5,34.0,189531360.0,568594080.0,132671952.0,0,0.0,0,0.0,2,30.0,3,4.0,0,2.0,2176314962.7161684,7425895.689512272,238774387.25310823,814732.1152705953,0.2612646100132314,0.5556372839075224,26.126461001323143,55.563728390752246,248.4377811319827,27.257350143048885,64.908,15.1452,Douglas County,CO,"Douglas County, CO"
08041,7,137.0,436931280.0,1310793840.0,305851896.0,2,90.0,0,0.0,3,45.0,2,2.0,0,40.0,4951881079.332904,16896521.409797132,464687369.1433655,1585579.2891235815,0.26470624374860485,0.6581885291262102,26.470624374860485,65.81885291262101,565.2832282343497,53.04650332686821,149.634,34.9146,El Paso County,CO,"El Paso County, CO"
08055,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,15.0,78093017.08861482,266464.46351478033,7642220.031669946,26076.339943302355,3.089269809184666,7.365891032543243,200.0,200.0,8.914727978152378,0.8723995469942861,27.54,6.426,Huerfano County,CO,"Huerfano County, CO"
08059,1,2.0,14348879.999999998,43046639.99999999,10044215.999999998,0,0.0,0,0.0,0,0.0,1,2.0,0,2.0,4479394154.012192,15284328.927459467,372252130.4666283,1270177.128954662,0.009609924583538407,0.02698229285460179,0.9609924583538407,2.698229285460179,511.3463646132639,42.494535441395925,4.913999999999999,1.1465999999999996,Jefferson County,CO,"Jefferson County, CO"
08069,2,2.0,14348879.999999998,43046639.99999999,10044215.999999998,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,3312135586.7798057,11301476.94534602,288178943.9955484,983307.4783228586,0.012996641856033346,0.03485409399013952,1.2996641856033346,3.4854093990139523,378.0976697237221,32.897139725519224,4.913999999999999,1.1465999999999996,Larimer County,CO,"Larimer County, CO"
08123,1,60.0,104068800.00000003,312206400.0000001,72848160.00000001,1,60.0,0,0.0,0,0.0,0,0.0,0,60.0,2430664694.9539948,8293773.093569714,176597990.03940254,602577.418929027,0.12844486557447993,0.41250843219532757,12.844486557447993,41.250843219532754,277.4731386933784,20.159587904041384,35.640000000000015,8.316000000000003,Weld County,CO,"Weld County, CO"
10003,21,55.3,342346932.0,1027040795.9999999,239642852.39999998,0,0.0,0,0.0,2,30.0,19,25.3,0,8.3,4963630790.863932,16936613.094000038,951210993.2382952,3245666.9808901036,0.20691321318466577,0.2519344857276741,20.691321318466578,25.19344857276741,566.624519505015,108.5857298217232,117.2421,27.356489999999997,New Castle County,DE,"New Castle County, DE"
12001,1,1.2,8609327.999999998,25827983.999999993,6026529.599999999,0,0.0,0,0.0,0,0.0,1,1.2,0,1.2,321598023.5915276,1097338.1234136422,973168533.9944792,3320589.2279209895,0.08031138907994341,0.006192688511273,8.031138907994341,0.6192688511273,36.71210314971776,111.09229840119626,2.948399999999999,0.6879599999999998,Alachua County,FL,"Alachua County, FL"
12009,4,18.0,101940120.0,305820360.0,71358084.0,0,0.0,0,0.0,1,15.0,3,3.0,0,0.0,215396824.8822487,734964.5528473658,2822864739.506182,9632015.337988105,1.4197997587345277,0.025278605454005218,141.97997587345276,2.5278605454005216,24.58867863952611,322.24483327696146,34.911,8.1459,Brevard County,FL,"Brevard County, FL"
12011,7,52.65,296134866.0,888404598.0,207294406.2,0,0.0,0,0.0,3,45.0,4,7.65,0,6.65,309133900.5242579,1054808.7656026424,9974807861.504662,34035460.84617024,2.8738504463385,0.02078179440428143,200.0,2.078179440428143,35.28925805071437,1138.676696518797,101.41605,23.663745,Broward County,FL,"Broward County, FL"
12021,2,16.0,87591240.0,262773720.0,61313868.0,0,0.0,0,0.0,1,15.0,1,1.0,0,1.0,66943817.80739571,228421.8123809628,1818954755.5059824,6206531.917361694,3.925287332073399,0.03370829747930932,200.0,3.370829747930932,7.641988334177593,207.64323692990666,29.997,6.9993,Collier County,FL,"Collier County, FL"
12031,11,65.89,388275174.0,1164825522.0,271792621.79999995,0,0.0,0,0.0,3,45.0,8,20.89,0,16.89,1040027719.2809104,3548722.2621226036,3962385106.5035825,13520220.642075349,1.1199946889928825,0.06859318680405357,111.99946889928825,6.859318680405357,118.7246254886884,452.3270669524638,132.97095000000002,31.026554999999995,Duval County,FL,"Duval County, FL"
12035,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,0.0,91480346.93451937,312143.9339498448,381531330.2393576,1301839.076225582,2.6371828276152516,0.14754164478362705,200.0,14.754164478362705,10.442961978826412,43.55380482184447,27.54,6.426,Flagler County,FL,"Flagler County, FL"
12057,21,137.61,769676288.4,2309028865.2,538773401.88,0,0.0,0,0.0,8,120.0,13,17.61,0,9.61,472140076.82169366,1611008.9860065274,6195552409.511503,21140104.5896954,4.890558922139578,0.08696131777577527,200.0,8.696131777577527,53.89726904357234,707.2548412684364,263.58777,61.503813,Hillsborough County,FL,"Hillsborough County, FL"
12071,3,31.0,168008040.0,504024120.0,117605628.0,0,0.0,0,0.0,2,30.0,1,1.0,0,0.0,156380901.21729654,533593.8410413887,3643491613.155322,12432110.759895029,3.223054197006075,0.0322782760293365,200.0,3.22782760293365,17.851701052202802,415.92370013188605,57.537,13.4253,Lee County,FL,"Lee County, FL"
12073,4,31.25,169801650.0,509404950.0,118861155.0,0,0.0,0,0.0,2,30.0,2,1.25,0,0.25,404687936.9036075,1380852.706402149,1015442824.3912952,3464835.109704163,1.2587599074427935,0.1170535180759695,125.87599074427935,11.70535180759695,46.197253071188065,115.9181306382757,58.15125,13.568625,Leon County,FL,"Leon County, FL"
12085,1,1.0,7174439.999999999,21523319.999999996,5022107.999999999,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,44164042.1445028,150693.98309102806,644729426.5405729,2199908.354935003,0.48734941266419046,0.007789481592219457,48.73494126641905,0.7789481592219457,5.041557322431827,73.59924960508823,2.4569999999999994,0.5732999999999998,Martin County,FL,"Martin County, FL"
